design,pressures_mpa,fabric_mode,state_log_sigma,state_precision_percent,adjustment,pressure_nuisance_prior_precision_factor,pressure_nuisance_prior_sd_factor,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
best_single,5,nuisance,0.0025,0.25,full_pressure_nuisance,4.0,0.5,1.5446378086546875,40.89370028526142,0.03777202351168484,5.145349435945865,441.51491374951127,21.01225627460105,2195.130483702188,22.986700097850303,22.986700097850303
best_single,5,nuisance,0.005,0.5,raw,1.0,1.0,46.767827360910424,1632.8536098950717,0.028641776015619524,5.908810035696011,5175.7595249663855,71.94275171944972,35624.32187449038,24.372974224971543,24.37297422497156
best_single,5,nuisance,0.005,0.5,shared_static_nuisance,1.0,1.0,1.9860761624112726,317.2472760658926,0.006260341103760217,12.638659147235325,567.6944074745262,23.82633852429966,21896.31695073965,27.08551881539277,27.08551881539277
best_single,5,nuisance,0.005,0.5,full_pressure_nuisance,0.25,2.0,0.7301946638422581,12.240819449372392,0.059652433144882014,4.094358990827803,208.7167828084289,14.447033702751195,310.61785563216165,9.979146170665786,9.979146170665821
best_single,5,nuisance,0.005,0.5,full_pressure_nuisance,1.0,1.0,1.2343946614930572,20.901732963106625,0.059057048698874445,4.114945902285208,352.8358877714115,18.783926314043384,896.6306901247945,17.95687838305851,17.95687838305851
best_single,5,nuisance,0.005,0.5,full_pressure_nuisance,4.0,0.5,1.5257426156395513,38.80628055643387,0.039316899062788215,5.0432485371268845,436.1139650820536,20.883341808294322,2057.5981748753825,22.79379951085666,22.79379951085666
best_single,5,nuisance,0.01,1.0,raw,1.0,1.0,33.43631914829514,564.4004170726694,0.059242194259381716,4.1085107916574195,3700.3717529168457,60.83068101638223,8803.552296260328,17.07756683634805,17.077566836348073
best_single,5,nuisance,0.01,1.0,shared_static_nuisance,1.0,1.0,1.8192617505469397,188.82948407663633,0.009634415724022174,10.187961824179617,520.0126465764142,22.80378579482833,11938.293876099475,26.95259067132415,26.95259067132415
best_single,5,nuisance,0.01,1.0,full_pressure_nuisance,0.25,2.0,0.7044475693298387,12.026818993805268,0.05857305823698544,4.131911870861131,201.3573059464374,14.190042492763629,294.4263803969341,9.64298218720866,9.642982187208622
best_single,5,nuisance,0.01,1.0,full_pressure_nuisance,1.0,1.0,1.2108699134635739,20.259568662333287,0.059767803236345826,4.09040540111198,346.11164015878666,18.604075901769125,852.520740082763,17.631618794742987,17.631618794742987
best_single,5,nuisance,0.01,1.0,full_pressure_nuisance,4.0,0.5,1.502687678946503,36.472247642606845,0.04120085204705247,4.926595448231323,429.52400701648145,20.724960965378955,1904.6208034559406,22.465056142707496,22.465056142707482
best_single,5,nuisance,0.02,2.0,raw,1.0,1.0,15.066528747260982,312.3240322149494,0.04824005581770861,4.552983738477497,1667.4011617010435,40.83382374577531,2195.1831882924457,7.259775209959629,7.2597752099596775
best_single,5,nuisance,0.02,2.0,shared_static_nuisance,1.0,1.0,1.691333256632083,79.10565347603685,0.021380687502245734,6.838945880965708,483.44592676646954,21.987403820516636,4649.582747215307,25.55118603728868,25.55118603728868
best_single,5,nuisance,0.02,2.0,full_pressure_nuisance,0.25,2.0,0.6637480632890334,11.726795244475213,0.056600976605415,4.203277254498166,189.72387395443894,13.774028965935818,270.49539706959337,9.111309582046822,9.111309582046822
best_single,5,nuisance,0.02,2.0,full_pressure_nuisance,1.0,1.0,1.1536550188567753,18.859876350087042,0.061169808191846975,4.0432578709100735,329.75749608956346,18.15922619743373,756.122342248838,16.78548338613054,16.78548338613054
