replicate,block_length_samples,fabric_mode,design,pressures_mpa,static_lambda_min,combined_lambda_min,lambda_min_gain,worst_sd_reduction,spectral_ratio
23,5,expanded_nuisance,best_pair,5+7.5,0.003536917105323445,0.01204899932540826,3.406638879738857,1.8457082325597556,0.0007109454747555574
24,5,shared,best_single,5,0.00321268661610552,2.200183397718775,684.842208601684,26.169490033275085,0.08829780066219302
24,5,shared,best_pair,5+7.5,0.00321268661610552,2.2711274895016977,706.9246897958575,26.588055397036044,0.08295785287925134
24,5,nuisance,best_single,5,0.00321268661610552,1.2573000932006655,391.3547268811387,19.782687554554833,0.05926024328086697
24,5,nuisance,best_pair,5+7.5,0.00321268661610552,1.3146039135474987,409.19145582306646,20.228481302931925,0.05794568108085897
24,5,expanded_nuisance,best_single,5,0.00321268661610552,0.00848542032750954,2.6412225471887854,1.6251838502731883,0.0004888336374217796
24,5,expanded_nuisance,best_pair,5+7.5,0.00321268661610552,0.011055626623087456,3.441240290187188,1.8550580287924117,0.0006205850166269009
25,5,shared,best_single,5,0.0034966086379992767,2.079646844416792,594.7611127583167,24.38772463265724,0.08673696275333709
25,5,shared,best_pair,5+7.5,0.0034966086379992767,2.142551291384165,612.7512436193347,24.753812708739126,0.08141857059314789
25,5,nuisance,best_single,5,0.0034966086379992767,1.1982379105040835,342.6857376837297,18.511772948146533,0.058972368083410526
25,5,nuisance,best_pair,5+7.5,0.0034966086379992767,1.2507170481867331,357.69431974588394,18.912808351640535,0.057605204576820127
25,5,expanded_nuisance,best_single,5,0.0034966086379992767,0.008967171093161586,2.564533815912698,1.601416190723916,0.0005409405811274949
25,5,expanded_nuisance,best_pair,5+7.5,0.0034966086379992767,0.011676845163661742,3.339477297162748,1.8274236775205546,0.0006864044885101995
26,5,shared,best_single,5,0.0032430739819835352,2.1961982447894934,677.1964676076401,26.02299882042114,0.08811616054789403
26,5,shared,best_pair,5+7.5,0.0032430739819835352,2.2664139513741377,698.8474404114423,26.435722808568,0.0830023468521451
26,5,nuisance,best_single,5,0.0032430739819835352,1.256468351129158,387.4312945400876,19.683274487241384,0.059154594456882426
26,5,nuisance,best_pair,5+7.5,0.0032430739819835352,1.3117600903128988,404.4804705659528,20.11169984277691,0.05789501116955224
26,5,expanded_nuisance,best_single,5,0.0032430739819835352,0.008534996600681133,2.63176130057352,1.622270415366538,0.0004915713162567582
26,5,expanded_nuisance,best_pair,5+7.5,0.0032430739819835352,0.011082612182880425,3.417317102369048,1.8485986861320247,0.0006225729751345537
27,5,shared,best_single,5,0.0029997828103507373,2.075339565462724,691.8299412550048,26.302660345581106,0.08639409593892218
27,5,shared,best_pair,5+7.5,0.0029997828103507373,2.1379743657259094,712.7097196333142,26.696623749705022,0.08074091804981408
27,5,nuisance,best_single,5,0.0029997828103507373,1.1902183881301958,396.7681873578822,19.919040824243577,0.058612554659437745
27,5,nuisance,best_pair,5+7.5,0.0029997828103507373,1.2423372637380476,414.14240372715267,20.350489029189266,0.05707472626300826
