block_length_samples,block_length_m,replicate,best_pressure_1_mpa,best_pressure_2_mpa,best_lambda_min,full_sample_design_lambda_min,full_sample_design_selected,full_sample_design_regret_fraction
10,40,31,5.0,7.5,0.010785612095305819,0.010785612095305819,True,0.0
10,40,32,5.0,7.5,0.011630914923079771,0.011630914923079771,True,0.0
10,40,33,5.0,7.5,0.01051436048246801,0.01051436048246801,True,0.0
10,40,34,5.0,7.5,0.011574337972955373,0.011574337972955373,True,0.0
10,40,35,5.0,7.5,0.0114869709305232,0.0114869709305232,True,0.0
10,40,36,5.0,7.5,0.010722715023085971,0.010722715023085971,True,0.0
10,40,37,5.0,7.5,0.011102993623911761,0.011102993623911761,True,0.0
10,40,38,5.0,7.5,0.011013671156971494,0.011013671156971494,True,0.0
10,40,39,5.0,7.5,0.010219443162833741,0.010219443162833741,True,0.0
10,40,40,5.0,7.5,0.010864836706433234,0.010864836706433234,True,0.0
10,40,41,5.0,7.5,0.010839623640206408,0.010839623640206408,True,0.0
10,40,42,5.0,7.5,0.010545231076507733,0.010545231076507733,True,0.0
10,40,43,5.0,7.5,0.010738681208227518,0.010738681208227518,True,0.0
10,40,44,5.0,7.5,0.01072902202441206,0.01072902202441206,True,0.0
10,40,45,5.0,7.5,0.010796088253528069,0.010796088253528069,True,0.0
10,40,46,5.0,7.5,0.010925541307746478,0.010925541307746478,True,0.0
10,40,47,5.0,7.5,0.010836461110286244,0.010836461110286244,True,0.0
10,40,48,5.0,7.5,0.011518945443294015,0.011518945443294015,True,0.0
10,40,49,5.0,7.5,0.010919078363871737,0.010919078363871737,True,0.0
10,40,50,5.0,7.5,0.010689310638839267,0.010689310638839267,True,0.0
10,40,51,5.0,7.5,0.010842940129251577,0.010842940129251577,True,0.0
10,40,52,5.0,7.5,0.011622616096023997,0.011622616096023997,True,0.0
10,40,53,5.0,7.5,0.011008389013779318,0.011008389013779318,True,0.0
10,40,54,5.0,7.5,0.012037748938877879,0.012037748938877879,True,0.0
10,40,55,5.0,7.5,0.010226867982342736,0.010226867982342736,True,0.0
10,40,56,5.0,7.5,0.01197142714639332,0.01197142714639332,True,0.0
10,40,57,5.0,7.5,0.01063287751112707,0.01063287751112707,True,0.0
10,40,58,5.0,7.5,0.010813465650459264,0.010813465650459264,True,0.0
10,40,59,5.0,7.5,0.011365291320546422,0.011365291320546422,True,0.0
10,40,60,5.0,7.5,0.010994545601976657,0.010994545601976657,True,0.0
10,40,61,5.0,7.5,0.010893349500018079,0.010893349500018079,True,0.0
10,40,62,5.0,7.5,0.009674687887547773,0.009674687887547773,True,0.0
10,40,63,5.0,7.5,0.010741685481789442,0.010741685481789442,True,0.0
10,40,64,5.0,7.5,0.011246563835751733,0.011246563835751733,True,0.0
10,40,65,5.0,7.5,0.01162245104852655,0.01162245104852655,True,0.0
10,40,66,5.0,7.5,0.011502274866404871,0.011502274866404871,True,0.0
10,40,67,5.0,7.5,0.010721521536708689,0.010721521536708689,True,0.0
10,40,68,5.0,7.5,0.010865126271710324,0.010865126271710324,True,0.0
10,40,69,5.0,7.5,0.010751786242555461,0.010751786242555461,True,0.0
10,40,70,5.0,7.5,0.009865081961691669,0.009865081961691669,True,0.0
