train,test,adjustment,Vcem_fraction,Vcem_percent,lnCn_profile,Cn_profile,profile_objective,lnCn_train_qstar,error_train_qstar,lnCn_test_oracle_qstar,error_test_oracle_qstar,lnCn_pooled_qstar,error_pooled_qstar,lnCn_train_local_exponential,error_train_local_exponential,lnCn_constant_Cn,error_constant_Cn
19A,BT2,adjusted,0.04611764705882353,4.6117647058823525,1.4391153873625462,4.216963787081774,0.047379444583582495,1.4536771861552118,0.014561798792665614,1.4173101268647343,-0.02180526049781184,1.4442005733382621,0.0050851859757159446,1.771112610532404,0.3319972231698578,2.1153340630480177,0.6762186756854716
19A,BT2,adjusted,0.04785294117647059,4.785294117647059,1.435783389921552,4.202936257359064,0.05182577608351283,1.4503582029724102,0.014574813050858282,1.4136441391966104,-0.022139250724941606,1.4409688231593347,0.005185433237782755,1.7573518872194014,0.3215684972978494,2.1153340630480177,0.6795506731264658
19A,BT2,adjusted,0.04958823529411765,4.958823529411765,1.4330226705508877,4.191349131580341,0.05655314030123531,1.4474677857789429,0.014445115228055139,1.4104265061206955,-0.02259616443019219,1.438174861729601,0.00515219117871335,1.743591163906399,0.3105684933555113,2.1153340630480177,0.68231139249713
19A,BT2,adjusted,0.051323529411764705,5.13235294117647,1.4306984767546147,4.181618935741221,0.06155313411545635,1.4449794222789085,0.01428094552429382,1.407629424980182,-0.023069051774432747,1.435791660401563,0.005093183646948329,1.7298304405933964,0.2991319638387817,2.1153340630480177,0.684635586293403
19A,BT2,adjusted,0.05305882352941177,5.305882352941177,1.4287072558768625,4.1733006932910435,0.0668219100890452,1.4428692887687584,0.014162032891895882,1.4052279114999404,-0.023479344376922118,1.4337949323551764,0.005087676478313874,1.7160697172803938,0.2873624614035313,2.1153340630480177,0.6866268071711552
19A,BT2,adjusted,0.054794117647058826,5.479411764705882,1.4270866756533118,4.1665430018900524,0.0723787962614603,1.4411159047494906,0.014029229096178764,1.403199437705093,-0.023887237948218898,1.4321627803879042,0.005076104734592413,1.7023089939673914,0.2752223183140796,2.1153340630480177,0.6882473873947059
19A,BT2,adjusted,0.056529411764705884,5.652941176470589,1.4258110061153715,4.1612312586388835,0.07823131683152493,1.4396998414262523,0.01388883531088081,1.401523626331025,-0.024287379784346586,1.4308753996569743,0.0050643935416028185,1.6885482706543888,0.26273726453901736,2.1153340630480177,0.6895230569326463
19A,BT2,adjusted,0.05826470588235294,5.826470588235294,1.4248105442431371,4.157070187266769,0.08439427254544726,1.4386034743150657,0.01379293007192861,1.4001819914719351,-0.024628552771202017,1.4299148254003184,0.005104281157181312,1.6747875473413865,0.24997700309824933,2.1153340630480177,0.6905235188048806
19A,BT2,adjusted,0.06,6.0,1.4240596884984424,4.153949998787875,0.09087473322929186,1.437810772186808,0.01375108368836564,1.399157717322563,-0.024901971175879334,1.4292647177127984,0.0052050292143559496,1.6610268240283839,0.23696713552994142,2.1153340630480177,0.6912743745495753
BT2,19A,raw,0.001,0.1,2.4461637655789836,11.543976266800382,0.06551079689406394,2.451189599668682,0.005025834089698478,2.4120347998885454,-0.03412896569043822,2.426407866499242,-0.019755899079741734,4.165509258496466,1.7193454929174825,1.548190461706214,-0.8979733038727695
